Operating Name,PhoneNumber,Website,Street Name,City,AlphaProvinceCode,Postal,Country
TAHERI EXCHANGE,4164888822,www.taheriexchange.com,5775 YONGE STREET,TORONTO,ON,M2M 4J1,Canada
N/A,6046888915,,1286 ROBSON STREET,VANCOUVER,BC,V6E1C1,Canada
UNITRANSFER,5148528648,www.unitransfer.com,9081 BOULEVARD PIE IX,MONTREAL,QC,H1Z3V7,Canada
N/A,5192587994,,298 WALKER ROAD,WINDSOR,ON,N8Y2M9,Canada
Y & W FOREIGN EXCHANGE,5148451113,,"1253 MCGILL COLLEGE AVENUE, VILLE MARIE TUNNEL, SUITE E4",MONTREAL,QC,H3B2Y5,Canada
CAMBRIDGE GLOBAL PAYMENTS,4166466401,www.cambridgefx.com,"212 KING STREET WEST, SUITE 400",TORONTO,ON,M5H1K5,Canada
CM-CC,6042329162,www.cm-cc.com,1435-4540 NO.3 ROAD,RICHMOND,BC,V6X 4E4,Canada
N/A,5142899011,,"1117 STE-CATHERINE STREET W., SUITE 511",MONTREAL,QC,H3B1H9,Canada
KANTOR CURENCY EXCHANGE,4167677782,www.kantor.ca,121 RUNNYMEDE ROAD,TORONTO,ON,M6S2Y4,Canada
KANTOR CURENCY EXCHANGE,,,"390 STEELES AVE.W., UNIT 18",THORNHILL,ON,L4J6X2,Canada
KANTOR CURENCY EXCHANGE,,,685 QUEENSTON RD.,HAMILTON,ON,L8G1A1,Canada
KANTOR CURENCY EXCHANGE,,,4400 DUFFERIN STREET,NORTH YORK,ON,M3H6A8,Canada
KANTOR CURENCY EXCHANGE,,,"3643 DIXIE RD., UNIT 1",MISSISSAUGA,ON,L4Y2B3,Canada
N/A,5142852828,,1115 SHERBROOKE W.,MONTREAL,QC,H3A1H3,Canada
N/A,4165982597,,145C-222 SPADINA AVENUE,TORONTO,ON,M5T3A2,Canada
MONEYWISE FINANCIAL,5148444492,www.moneywise.cc,1405 DE MAISONNEUVE BLVD W,MONTREAL,QC,H3G1M6,Canada
MONEYWISE FINANCIAL,6042441000,,171-5951 MINORU BOULEVARD,RICHMOND,BC,V6X 4B1,Canada
MONEYWISE FINANCIAL,6046854921,,789 BURRARD STREET,VANCOUVER,BC,V6Z 1X6,Canada
MONEYWISE FINANCIAL,5194345080,www.londoncurrencyexchange.ca,105 WHARNCLIFFE ROAD S.,LONDON,ON,N6J2K2,Canada
MONEYWISE FINANCIAL,6049238000,www.moneyway.com,702 MAIN STREET PARK ROYAL SOUTH,WEST VANCOUVER,BC,V7T 0A5,Canada
MONEYWISE FINANCIAL,6049238000,,116 WEST 15TH STREET,NORTH VANCOUVER,BC,V7M1R5,Canada
MONEYWISE FINANCIAL,4166799510,,30 SECRETARIAT DRIVE,ETOBICOKE,ON,M9W6X4,Canada
MONEYWISE FINANCIAL,6048211977,rcgforex.com,913-6081 NO. 3 ROAD,RICHMOND,BC,V6Y2B2,Canada
MONEYWISE FINANCIAL,6049881070,,1546 LONSDALE AVE,NORTH VANCOUVER,BC,V7M2J3,Canada
MONEYWISE FINANCIAL,5148445060,www.universalcurrency.ca,380 (W1010) ST-ANTOINE STREET W.,MONTREAL,QC,H2Y 3X7,Canada
MONEYWISE FINANCIAL,4162299219,,4931 BATHURST STREET,TORONTO,ON,M2R1X8,Canada
MONEYWISE FINANCIAL,4163593700,www.travelex.com,"CALGARY AIRPORT,2000 AIRPORT RD NE",CALGARY,AB,T2E6W5,Canada
MONEYWISE FINANCIAL,,,"CALGARY AIRPORT,2016A AIRPORT ROAD NE",CALGARY,AB,T2E3B8,Canada
MONEYWISE FINANCIAL,,,CALGARY AIRPORT200 AIRPORT RD,CALGARY,AB,T2E6W5,Canada
MONEYWISE FINANCIAL,,,"BOX 131, 2000 AIRPORT RD. 2",CALGARY,AB,T2E6W5,Canada
MONEYWISE FINANCIAL,,,"2345 STANFIELD, UNIT #2-NORTH SIDE",MISSISSAUGA,ON,L4Y3Y3,Canada
MONEYWISE FINANCIAL,,,250 YOUNGE STREET,TORONTO,ON,M5B2L7,Canada
ÉCHANGE UNIGLOBE,5148458692,,1385A STE-CATHERINE W.,MONTREAL,QC,H3G1R1,Canada
ÉCHANGE UNIGLOBE,,,712 SAINTE-CATHERINE OUEST,MONTREAL,QC,H3A2B7,Canada
ÉCHANGE UNIGLOBE,4164893466,,3080 YONGE STREET SUITE 5044 P.O. BOX 24,TORONTO,ON,M4N 3N1,Canada
ÉCHANGE UNIGLOBE,5197637330,www.global-currency.com,"1027 GORDON STREET, UNIT 8",GUELPH,ON,N1G4X1,Canada
ÉCHANGE UNIGLOBE,9057077203,,24 EMMANUEL DRIVE,RICHMOND HILL,ON,L4B 1Y7,Canada
NCE INC.,4166750956,www.eremittance.com,1889 ALBION ROAD,REXDALE,ON,M9W 5S9,Canada
NCE INC.,9053060000,,107 DUNDAS STREET E.,MISSISSAUGA,ON,L5A 1W7,Canada
PACIFIC CAMBIO CURRENCY EXCHANGE,6046877442,,1849 LONSDALE AVE.,NORTH VANCOUVER,BC,V7M 2J8,Canada
PHONE CASH,4166670738,www.phonecash.ca,4113 STEELES AVENUE WEST,NORTH YORK,ON,M3N 1V7,Canada
PHONE CASH,4165369163,,981 COLLEGE STREET,TORONTO,ON,M6H 1A6,Canada
